Date,Open,High,Low,Close,Adj Close,Volume
01-04-2013,5697.350098,5754.600098,5534.700195,5553.25,5553.25,617000
08-04-2013,5550.5,5610.649902,5477.200195,5528.549805,5528.549805,637900
15-04-2013,5508.5,5794.350098,5500.299805,5783.100098,5783.100098,590100
22-04-2013,5789.850098,5924.600098,5789.799805,5871.450195,5871.450195,608200
29-04-2013,5877.600098,6019.450195,5867.799805,5944,5944,580300
06-05-2013,5944.899902,6105.299805,5928.450195,6094.75,6094.75,590300
13-05-2013,6098.200195,6199.950195,5970.049805,6187.299805,6187.299805,687000
20-05-2013,6198,6229.450195,5936.799805,5983.549805,5983.549805,747200
27-05-2013,5989.399902,6133.75,5975.549805,5985.950195,5985.950195,744400
03-06-2013,5997.350098,6011,5869.5,5881,5881,569300
10-06-2013,5907.899902,5931.649902,5683.100098,5808.399902,5808.399902,687800
17-06-2013,5820.399902,5863.399902,5616.850098,5667.649902,5667.649902,721000
24-06-2013,5638.049805,5852.950195,5566.25,5842.200195,5842.200195,1003600
01-07-2013,5834.100098,5904.350098,5760.399902,5867.899902,5867.899902,726500
08-07-2013,5833.149902,6019,5775.549805,6009,6009,603400
15-07-2013,5991.200195,6066.850098,5910.950195,6029.200195,6029.200195,794000
22-07-2013,6009.75,6093.350098,5869.5,5886.200195,5886.200195,805200
29-07-2013,5869.950195,5886,5649,5677.899902,5677.899902,1029700
05-08-2013,5682.399902,5721,5486.850098,5565.649902,5565.649902,863300
12-08-2013,5606.700195,5754.549805,5496.049805,5507.850098,5507.850098,890500
19-08-2013,5497.549805,5504.100098,5254.049805,5471.75,5471.75,1271800
26-08-2013,5499.399902,5528.700195,5118.850098,5471.799805,5471.799805,1546900
02-09-2013,5480.25,5688.600098,5318.899902,5680.399902,5680.399902,1229600
09-09-2013,5738.5,5932,5738.200195,5850.600098,5850.600098,1004000
16-09-2013,5930.299805,6142.5,5798.149902,6012.100098,6012.100098,1136800
23-09-2013,5945.799805,5989.399902,5811.100098,5833.200195,5833.200195,959800
30-09-2013,5801.049805,5950.450195,5700.950195,5907.299805,5907.299805,706200
07-10-2013,5889.049805,6107.600098,5825.850098,6096.200195,6096.200195,847300
14-10-2013,6093,6201.450195,6032.549805,6189.350098,6189.350098,841400
21-10-2013,6202,6252.450195,6116.600098,6144.899902,6144.899902,840600
28-10-2013,6155.100098,6332.600098,6079.200195,6307.200195,6307.200195,952400
04-11-2013,6282.149902,6304.75,6120.950195,6140.75,6140.75,657100
11-11-2013,6110.399902,6141.649902,5972.450195,6056.149902,6056.149902,617300
18-11-2013,6111.049805,6212.399902,5972.799805,5995.450195,5995.450195,753300
25-11-2013,6035.950195,6182.5,6030.299805,6176.100098,6176.100098,788800
02-12-2013,6171.149902,6300.549805,6149.899902,6259.899902,6259.899902,833600
09-12-2013,6415,6415.25,6161.399902,6168.399902,6168.399902,907100
16-12-2013,6168.350098,6284.5,6129.950195,6274.25,6274.25,1153000
23-12-2013,6267.200195,6324.899902,6259.450195,6313.799805,6313.799805,518000
30-12-2013,6336.399902,6358.299805,6171.25,6211.149902,6211.149902,501800
06-01-2014,6220.850098,6239.100098,6139.600098,6171.450195,6171.450195,713800
13-01-2014,6189.549805,6346.5,6189.549805,6261.649902,6261.649902,712200
20-01-2014,6261.75,6355.600098,6243.350098,6266.75,6266.75,681700
27-01-2014,6186.299805,6188.549805,6027.25,6089.5,6089.5,876000
03-02-2014,6058.799805,6079.950195,5933.299805,6063.200195,6063.200195,852200
10-02-2014,6072.799805,6106.600098,5984.600098,6048.350098,6048.350098,716000
17-02-2014,6071.299805,6160.350098,6066.799805,6155.450195,6155.450195,466500
24-02-2014,6140.950195,6282.700195,6130.799805,6276.950195,6276.950195,653500
03-03-2014,6264.350098,6537.799805,6212.25,6526.649902,6526.649902,937300
10-03-2014,6491.700195,6562.850098,6432.700195,6504.200195,6504.200195,1001300
17-03-2014,6532.450195,6574.950195,6473.25,6493.200195,6493.200195,683700
24-03-2014,6510.5,6702.600098,6510.5,6695.899902,6695.899902,1010300
31-03-2014,6723.149902,6776.75,6662.399902,6694.350098,6694.350098,924300
